company,ads_cluster_core
Titan Systems,0
Hall & White,0
Stellar Graphics,4
Hall & Johnson,0
GlobalDesi,0
Jones & Thomas,4
Express Productions,0
Beta Industries,0
Dynamic Signs,0
Manchester Signs,0
Dynamic Print,0
Sigma Signs,0
RMEF,4
EYCE,0
Bradford Partners,0
Delta Media,0
MetroAsso,0
Dynamic Systems,0
Metro Graphics,4
Zenith Manufacturing,0
AtlanticEnte,0
SummitSolu,0
Matrix Group,4
WesternPrin,0
Walker & White,0
Express Services,0
Vector Communications,0
Jackson & Baker,0
Atlantic Industries,0
Atlantic International,0
Sigma Productions,0
Bath Services,0
Roberts & Green,0
Delta Group,0
Thomas & Lee,0
Summit Graphics,0
AtlasSign,0
Mega Packaging,0
NexusSolu,0
Oxford Group,0
Lewis & Allen,4
CoastalWork,0
Dynamic Media,0
Clarke & Evans,0
Glasgow Graphics,4
YAWO,0
Continental Display,0
Thompson & Lewis,0
National Creative,0
Atlantic Partners,0
RoyalPrin,0
CVZC,0
Southern Productions,0
Thompson & Thompson,2
Brown & Clarke,0
SigmaProd,0
MatrixDisp,0
NationalSyst,0
Mitchell & Hall,0
SwiftPart,0
Global Group,0
ExpressEnte,0
Walker & Smith,4
Newcastle Media,0
Nottingham Systems,0
Brighton Display,0
Stellar Group,0
Norwich Marketing,4
Metro Solutions,2
Prime Graphics,0
Morgan & Edwards,0
Nova Partners,4
CBM,0
RapidEnte,0
Swift Labels,0
QG,0
Quantum Solutions,0
Newcastle Labels,0
Belfast Systems,0
Southampton Signs,0
Harris & Johnson,0
Nexus International,0
VOTE,4
Edwards & Taylor,0
Glasgow Industries,0
Belfast Media,0
Edwards & Martin,0
Leeds Services,0
Flex Enterprises,0
Nottingham Design,0
Rapid Marketing,0
Omega Labels,0
Apex Associates,4
Bradford Communications,2
ZG,0
ZDZ,0
White & Baker,0
Leicester Industries,0
Oxford Graphics,0
AlphaDesi,0
IB,0
Davies & Davies,0
Bath Print,0
Davies & Taylor,0
Mega Associates 353,0
Express International,4
PJ,0
Lewis & Morgan 359,4
Allen & Martin,0
Cambridge Manufacturing,0
Gamma Labels,4
Matrix Display,0
JUAN,0
Bath Technologies,0
Edwards & Smith,0
QQ,0
Prime Associates,0
National Manufacturing,4
Vanguard Group,4
Sigma Group,0
Bristol Solutions,4
Birmingham Technologies,0
Swift Design,0
Sigma International,0
Belfast Holdings,0
Thompson & Harris,0
Belfast Marketing,0
Nottingham Labels,0
Pinnacle International,0
Plymouth Technologies,0
Meridian Labels,0
Birmingham Manufacturing,4
Evans & Thompson,0
Johnson & Hughes 446,4
Edwards & Green,0
DeltaPart 453,4
Precision International 456,0
Cambridge Packaging 459,0
